LocationTitle,AddressStreetInfo,City,State,Zipcode,Details,Latitude,Longitude,GroupTitle,Day,Start,End,Meeting_Type
"44 John Street",44 John Street,New York,NY,10038,"44 John Street,between Nassau and William 10038",40.7091732,-74.0080677,01,"exchange views @ john street church",Mondays,12:15 PM,1:15 PM,OD
"44 John Street",44 John Street,New York,NY,10038,"44 John Street,between Nassau and William 10038",40.7091732,-74.0080677,01,"exchange views @ john street church",Tuesdays,12:15 PM,1:15 PM,S
"44 John Street",44 John Street,New York,NY,10038,"44 John Street,between Nassau and William 10038",40.7091732,-74.0080677,01,"exchange views @ john street church",Thursdays,12:15 PM,1:15 PM,OD
"44 John Street",44 John Street,New York,NY,10038,"44 John Street,between Nassau and William 10038",40.7091732,-74.0080677,01,"exchange views @ john street church",Mondays,1:30 PM,2:30 PM,B
"44 John Street",44 John Street,New York,NY,10038,"44 John Street,between Nassau and William 10038",40.7091732,-74.0080677,01,"exchange views @ john street church",Thursdays,1:30 PM,2:30 PM,S
"49 Fulton Street",49 Fulton Street,New York,NY,10038,"49 Fulton Street,near Water 10038",40.7080393,-74.0042361,01,"exchange views @ st. margaret's house",Mondays,6:30 AM,7:30 AM,C
"49 Fulton Street",49 Fulton Street,New York,NY,10038,"49 Fulton Street,near Water 10038",40.7080393,-74.0042361,01,"exchange views @ st. margaret's house",Tuesdays,6:30 AM,7:30 AM,C
"49 Fulton Street",49 Fulton Street,New York,NY,10038,"49 Fulton Street,near Water 10038",40.7080393,-74.0042361,01,"exchange views @ st. margaret's house",Wednesdays,6:30 AM,7:30 AM,C
"49 Fulton Street",49 Fulton Street,New York,NY,10038,"49 Fulton Street,near Water 10038",40.7080393,-74.0042361,01,"exchange views @ st. margaret's house",Thursdays,6:30 AM,7:30 AM,S
"49 Fulton Street",49 Fulton Street,New York,NY,10038,"49 Fulton Street,near Water 10038",40.7080393,-74.0042361,01,"exchange views @ st. margaret's house",Fridays,6:30 AM,7:30 AM,BB
"49 Fulton Street",49 Fulton Street,New York,NY,10038,"49 Fulton Street,near Water 10038",40.7080393,-74.0042361,01,"exchange views @ st. margaret's house",Mondays,7:30 AM,8:30 AM,S
"49 Fulton Street",49 Fulton Street,New York,NY,10038,"49 Fulton Street,near Water 10038",40.7080393,-74.0042361,01,"exchange views @ st. margaret's house",Tuesdays,7:30 AM,8:30 AM,OD
"49 Fulton Street",49 Fulton Street,New York,NY,10038,"49 Fulton Street,near Water 10038",40.7080393,-74.0042361,01,"exchange views @ st. margaret's house",Wednesdays,7:30 AM,8:30 AM,OD
"49 Fulton Street",49 Fulton Street,New York,NY,10038,"49 Fulton Street,near Water 10038",40.7080393,-74.0042361,01,"exchange views @ st. margaret's house",Thursdays,7:30 AM,8:30 AM,OD
"49 Fulton Street",49 Fulton Street,New York,NY,10038,"49 Fulton Street,near Water 10038",40.7080393,-74.0042361,01,"exchange views @ st. margaret's house",Fridays,7:30 AM,8:30 AM,B
"49 Fulton Street",49 Fulton Street,New York,NY,10038,"49 Fulton Street,near Water 10038",40.7080393,-74.0042361,01,"exchange views @ st. margaret's house",Sundays,7:45 AM,8:45 AM,OD
"49 Fulton Street",49 Fulton Street,New York,NY,10038,"49 Fulton Street,near Water 10038",40.7080393,-74.0042361,01,"exchange views @ st. margaret's house",Saturdays,7:45 AM,8:45 AM,OD
"49 Fulton Street",49 Fulton Street,New York,NY,10038,"49 Fulton Street,near Water 10038",40.7080393,-74.0042361,01,"exchange views @ st. margaret's house",Fridays,5:30 PM,6:30 PM,B
"49 Fulton Street",49 Fulton Street,New York,NY,10038,"49 Fulton Street,near Water 10038",40.7080393,-74.0042361,01,"tribeca group @ st. margaret's house",Fridays,7:30 PM,8:30 PM,S
"49 Fulton Street",49 Fulton Street,New York,NY,10038,"49 Fulton Street,near Water 10038",40.7080393,-74.0042361,01,"tribeca group @ st. margaret's house",Saturdays,7:30 PM,8:30 PM,OD
"49 Fulton Street",49 Fulton Street,New York,NY,10038,"49 Fulton Street,near Water 10038",40.7080393,-74.0042361,01,"tribeca group @ st. margaret's house",Tuesdays,7:30 PM,8:30 PM,BB
"49 Fulton Street",49 Fulton Street,New York,NY,10038,"49 Fulton Street,near Water 10038",40.7080393,-74.0042361,01,"tribeca group @ st. margaret's house",Thursdays,7:30 PM,8:30 PM,B
"St. Peter's Church",22 Barclay Street,New York,NY,,"22 Barclay Street,Entrance on Church St. between Vesey & Barclay Streets NY",40.7125016,-74.0094639,01,"gateway",Sundays,6:00 PM,7:00 PM,BB
"St. Peter's Church",22 Barclay Street,New York,NY,,"22 Barclay Street,Entrance on Church St. between Vesey & Barclay Streets NY",40.7125016,-74.0094639,01,"tribeca group @ st. peter's church",Mondays,7:45 PM,8:45 PM,S
"St. Peter's Church",22 Barclay Street,New York,NY,,"22 Barclay Street,Entrance on Church St. between Vesey & Barclay Streets NY",40.7125016,-74.0094639,01,"tribeca group @ st. peter's church",Wednesdays,8:00 PM,9:00 PM,OD
"Saint Peter's Church",22 Barclay Street,New York,NY,10007,"22 Barclay Street,Basement,Corner of Barclay & Church Streets,10007",40.7125016,-74.0094639,01,"s.o.b.e.r.",Thursdays,7:30 PM,8:45 PM,OD
"Hazelden Tribeca",283 West Broadway,New York,NY,10013,"283 West Broadway,Betw. Lispenard and Canal Streets,Ground Floor,Broadway Room,Enter through Green Door 10013",40.7144166,-73.9843646,01,"sane and sober",Wednesdays,7:00 PM,8:00 PM,C
"Municipal Union Bldg DC 37",125 Barclay Street,New York,NY,10007,"125 Barclay Street,Betw. Greenwich Street & West Side Highway,NY 10007",40.7143477,-74.0130151,01,"saturday afternoon discussion",Saturdays,2:00 PM,3:15 PM,OD
"St. Margaret's House",49 Fulton Street,New York,NY,10038,"49 Fulton Street,Conference Room #1,@ Water & Fulton Streets,10038",40.7080393,-74.0042361,01,"seamen's group",Tuesdays,6:00 PM,7:00 PM,S
"St. Margaret's House",49 Fulton Street,New York,NY,10038,"49 Fulton Street,Conference Room #1,@ Water & Fulton Streets,10038",40.7080393,-74.0042361,01,"seaport",Thursdays,12:15 PM,1:15 PM,C
"St. Margaret's House",49 Fulton Street,New York,NY,10038,"49 Fulton Street,Conference Room #1,@ Water & Fulton Streets,10038",40.7080393,-74.0042361,01,"seaport",Fridays,12:15 PM,1:15 PM,S
"St. Margaret's House",49 Fulton Street,New York,NY,10038,"49 Fulton Street,Conference Room #1,@ Water & Fulton Streets,10038",40.7080393,-74.0042361,01,"seaport",Mondays,12:15 PM,1:15 PM,S
"St. Margaret's House",49 Fulton Street,New York,NY,10038,"49 Fulton Street,Conference Room #1,@ Water & Fulton Streets,10038",40.7080393,-74.0042361,01,"seaport",Wednesdays,12:15 PM,1:15 PM,BB
"St. Margaret's House",49 Fulton Street,New York,NY,10038,"49 Fulton Street,Conference Room #1,@ Water & Fulton Streets,10038",40.7080393,-74.0042361,01,"seaport",Tuesdays,12:15 PM,1:15 PM,B
"Church of Saint Andrew",20 Cardinal Hayes Place,New York,NY,10007,"20 Cardinal Hayes Place,10007",40.7132514,-74.002398,01,"tower",Wednesdays,5:30 PM,6:30 PM,OD
"Tribeca 12 Building",283 West Broadway,New York,NY,10013,"283 West Broadway,Canal and Lispendard Sts. 10013",40.7144166,-73.9843646,01,"triangle group",Sundays,11:00 AM,12:00 PM,C
"Tribeca 12 Building",283 West Broadway,New York,NY,10013,"283 West Broadway,Canal and Lispendard Sts. 10013",40.7144166,-73.9843646,01,"triangle group",Fridays,12:30 PM,1:30 PM,BB
"Tribeca 12 Building",283 West Broadway,New York,NY,10013,"283 West Broadway,Canal and Lispendard Sts. 10013",40.7144166,-73.9843646,01,"triangle group",Mondays,6:30 PM,7:30 PM,C
"Tribeca 12 Building",283 West Broadway,New York,NY,10013,"283 West Broadway,Canal and Lispendard Sts. 10013",40.7144166,-73.9843646,01,"triangle group",Thursdays,6:30 PM,7:30 PM,C
"Hazelden Center",283 West Broadway,New York,NY,10013,"283 West Broadway,10013",40.7144166,-73.9843646,01,"young people's diversity",Wednesdays,8:30 PM,9:30 PM,C
"Hazelden Center",283 West Broadway,New York,NY,10013,"283 West Broadway,10013",40.7144166,-73.9843646,01,"young people's step",Tuesdays,7:45 PM,8:45 PM,C
"Hazelden Center",283 West Broadway,New York,NY,10013,"283 West Broadway,10013",40.7144166,-73.9843646,01,"youth enjoying sobriety (y.e.s.)",Saturdays,7:00 PM,8:15 PM,B
"Hazelden Center",283 West Broadway,New York,NY,10013,"283 West Broadway,10013",40.7144166,-73.9843646,01,"afternoon delight",Saturdays,12:00 PM,1:00 PM,C
"SRO Building",109 West 129th Street,New York,NY,10027,"109 West 129th Street,Basement,@ Lenox Avenue,NY 10027",40.8106798,-73.944244,08,"a chance to live again",Wednesdays,6:00 PM,7:00 PM,BB
"SRO Building",109 West 129th Street,New York,NY,10027,"109 West 129th Street,Basement,@ Lenox Avenue,NY 10027",40.8106798,-73.944244,08,"a chance to live again",Mondays,7:00 PM,8:00 PM,B
"Union Baptist Church",240 West 145th Street,New York,NY,10039,"240 West 145th Street,Betw 7th & 8th Avenues,NY 10039",40.8222189,-73.9408621,08,"aa it works  ii",Wednesdays,10:00 AM,11:00 AM,B
"Union Baptist Church",240 West 145th Street,New York,NY,10039,"240 West 145th Street,Betw 7th & 8th Avenues,NY 10039",40.8222189,-73.9408621,08,"aa it works  ii",Thursdays,10:00 AM,11:00 AM,BB
"Union Baptist Church",240 West 145th Street,New York,NY,10039,"240 West 145th Street,Betw 7th & 8th Avenues,NY 10039",40.8222189,-73.9408621,08,"aa it works  ii",Fridays,10:00 AM,11:00 AM,S
"Union Baptist Church",240 West 145th Street,New York,NY,10039,"240 West 145th Street,Betw 7th & 8th Avenues,NY 10039",40.8222189,-73.9408621,08,"aa it works  ii",Tuesdays,10:00 AM,11:00 AM,OD
"Our Lady of Lourdes Church",469 West 142nd Street,New York,NY,10031,"469 West 142nd Street,Basement,Betw Convent & Amsterdam Avenues,NY 10031",40.8232166,-73.9484769,08,"attitude adjustment",Saturdays,7:30 AM,8:30 AM,OD
